verse_id,lang,chars,gpt_tokens,o200k_tokens,spm_tokens,chars_per_gpt_tok,chars_per_o200k_tok,chars_per_spm_tok
31,hi,216,212,54,50,1.0188679245283019,4.0,4.32
31,en,223,52,52,50,4.288461538461538,4.288461538461538,4.46
32,sa,197,192,84,37,1.0260416666666667,2.3452380952380953,5.324324324324325
32,sa_latn,201,140,94,31,1.4357142857142857,2.1382978723404253,6.483870967741935
32,hi,216,212,54,50,1.0188679245283019,4.0,4.32
32,en,223,52,52,50,4.288461538461538,4.288461538461538,4.46
33,sa,185,177,90,35,1.0451977401129944,2.0555555555555554,5.285714285714286
33,sa_latn,192,117,83,28,1.641025641025641,2.3132530120481927,6.857142857142857
33,hi,385,374,134,88,1.0294117647058822,2.873134328358209,4.375
33,en,389,99,97,87,3.9292929292929295,4.010309278350515,4.471264367816092
34,sa,185,177,90,35,1.0451977401129944,2.0555555555555554,5.285714285714286
34,sa_latn,192,117,83,28,1.641025641025641,2.3132530120481927,6.857142857142857
34,hi,385,374,134,88,1.0294117647058822,2.873134328358209,4.375
34,en,389,99,97,87,3.9292929292929295,4.010309278350515,4.471264367816092
35,sa,195,179,94,32,1.089385474860335,2.074468085106383,6.09375
35,sa_latn,196,133,90,28,1.4736842105263157,2.1777777777777776,7.0
35,hi,389,369,123,86,1.0542005420054201,3.16260162601626,4.523255813953488
35,en,361,94,91,76,3.8404255319148937,3.967032967032967,4.75
36,sa,195,179,94,32,1.089385474860335,2.074468085106383,6.09375
36,sa_latn,196,133,90,28,1.4736842105263157,2.1777777777777776,7.0
36,hi,389,369,123,86,1.0542005420054201,3.16260162601626,4.523255813953488
36,en,361,94,91,76,3.8404255319148937,3.967032967032967,4.75
37,sa,170,167,91,26,1.0179640718562875,1.8681318681318682,6.538461538461538
37,sa_latn,193,120,86,31,1.6083333333333334,2.244186046511628,6.225806451612903
37,hi,280,277,91,59,1.0108303249097472,3.076923076923077,4.745762711864407
37,en,254,60,59,50,4.233333333333333,4.305084745762712,5.08
38,sa,170,167,91,26,1.0179640718562875,1.8681318681318682,6.538461538461538
38,sa_latn,193,120,86,31,1.6083333333333334,2.244186046511628,6.225806451612903
38,hi,280,277,91,59,1.0108303249097472,3.076923076923077,4.745762711864407
38,en,254,60,59,50,4.233333333333333,4.305084745762712,5.08
39,sa,88,88,44,18,1.0,2.0,4.888888888888889
39,sa_latn,100,66,42,18,1.5151515151515151,2.380952380952381,5.555555555555555
39,hi,121,117,38,28,1.0341880341880343,3.1842105263157894,4.321428571428571
39,en,118,26,26,22,4.538461538461538,4.538461538461538,5.363636363636363
40,sa,97,97,44,19,1.0,2.2045454545454546,5.105263157894737
40,sa_latn,98,84,47,16,1.1666666666666667,2.0851063829787235,6.125
40,hi,149,143,55,30,1.0419580419580419,2.709090909090909,4.966666666666667
40,en,168,42,41,34,4.0,4.097560975609756,4.9411764705882355
41,sa,85,80,43,16,1.0625,1.9767441860465116,5.3125
41,sa_latn,90,61,42,18,1.4754098360655739,2.142857142857143,5.0
41,hi,229,218,76,46,1.0504587155963303,3.013157894736842,4.978260869565218
41,en,199,39,39,35,5.102564102564102,5.102564102564102,5.685714285714286
42,sa,90,92,47,20,0.9782608695652174,1.9148936170212767,4.5
42,sa_latn,101,74,46,21,1.364864864864865,2.1956521739130435,4.809523809523809
42,hi,197,185,59,37,1.0648648648648649,3.3389830508474576,5.324324324324325
42,en,166,31,31,30,5.354838709677419,5.354838709677419,5.533333333333333
43,sa,79,78,42,14,1.0128205128205128,1.880952380952381,5.642857142857143
43,sa_latn,86,57,39,15,1.5087719298245614,2.2051282051282053,5.733333333333333
43,hi,127,121,42,29,1.0495867768595042,3.0238095238095237,4.379310344827586
43,en,140,31,29,27,4.516129032258065,4.827586206896552,5.185185185185185
44,sa,173,167,85,26,1.035928143712575,2.0352941176470587,6.653846153846154
44,sa_latn,188,120,82,30,1.5666666666666667,2.292682926829268,6.266666666666667
44,hi,291,282,99,63,1.0319148936170213,2.9393939393939394,4.619047619047619
44,en,313,72,72,62,4.347222222222222,4.347222222222222,5.048387096774194
45,sa,173,167,85,26,1.035928143712575,2.0352941176470587,6.653846153846154
45,sa_latn,188,120,82,30,1.5666666666666667,2.292682926829268,6.266666666666667
45,hi,291,282,99,63,1.0319148936170213,2.9393939393939394,4.619047619047619
45,en,313,72,72,62,4.347222222222222,4.347222222222222,5.048387096774194
46,sa,96,100,54,20,0.96,1.7777777777777777,4.8
46,sa_latn,108,74,53,20,1.4594594594594594,2.0377358490566038,5.4
46,hi,155,157,54,41,0.9872611464968153,2.8703703703703702,3.7804878048780486
46,en,152,35,36,32,4.3428571428571425,4.222222222222222,4.75
47,sa,91,98,45,21,0.9285714285714286,2.022222222222222,4.333333333333333
47,sa_latn,102,77,51,17,1.3246753246753247,2.0,6.0
47,hi,125,126,50,27,0.9920634920634921,2.5,4.62962962962963
47,en,142,32,33,29,4.4375,4.303030303030303,4.896551724137931
48,sa,96,97,46,19,0.9896907216494846,2.0869565217391304,5.052631578947368
48,sa_latn,107,62,50,16,1.7258064516129032,2.14,6.6875
48,hi,210,206,63,42,1.0194174757281553,3.3333333333333335,5.0
48,en,186,45,44,41,4.133333333333334,4.2272727272727275,4.536585365853658
