verse_id,lang,segment_type,chars,gpt_tokens,o200k_tokens,gemini_tokens,spm_tokens,chars_per_gpt_tok,chars_per_o200k_tok,chars_per_gemini_tok,chars_per_spm_tok
11,hi,hi_trans,172,181,67,51,32,0.9502762430939227,2.5671641791044775,3.372549019607843,5.375
11,hi,hi_mean,595,579,180,157,136,1.0276338514680483,3.3055555555555554,3.789808917197452,4.375
12,sa,sa_verse,81,86,45,39,22,0.9418604651162791,1.8,2.076923076923077,3.6818181818181817
12,en,en_trans,127,32,31,30,23,3.96875,4.096774193548387,4.233333333333333,5.521739130434782
12,en,en_mean,317,87,78,77,80,3.6436781609195403,4.064102564102564,4.116883116883117,3.9625
12,hi,hi_trans,103,112,38,35,24,0.9196428571428571,2.710526315789474,2.942857142857143,4.291666666666667
12,hi,hi_mean,292,293,112,89,83,0.9965870307167235,2.607142857142857,3.2808988764044944,3.5180722891566263
13,sa,sa_verse,95,98,50,47,24,0.9693877551020408,1.9,2.021276595744681,3.9583333333333335
13,en,en_trans,136,33,32,30,27,4.121212121212121,4.25,4.533333333333333,5.037037037037037
13,en,en_mean,974,232,229,214,246,4.198275862068965,4.253275109170306,4.5514018691588785,3.959349593495935
13,hi,hi_trans,130,136,51,37,27,0.9558823529411765,2.549019607843137,3.5135135135135136,4.814814814814815
13,hi,hi_mean,779,760,265,202,200,1.025,2.939622641509434,3.8564356435643563,3.895
14,sa,sa_verse,86,91,49,42,22,0.945054945054945,1.7551020408163265,2.0476190476190474,3.909090909090909
14,en,en_trans,182,52,50,48,34,3.5,3.64,3.7916666666666665,5.352941176470588
14,en,en_mean,264,57,57,54,61,4.631578947368421,4.631578947368421,4.888888888888889,4.327868852459017
14,hi,hi_trans,147,164,60,47,31,0.8963414634146342,2.45,3.127659574468085,4.741935483870968
14,hi,hi_mean,294,286,92,71,66,1.027972027972028,3.1956521739130435,4.140845070422535,4.454545454545454
15,sa,sa_verse,257,263,133,116,42,0.9771863117870723,1.9323308270676691,2.2155172413793105,6.119047619047619
15,en,en_trans,363,113,108,101,71,3.2123893805309733,3.361111111111111,3.594059405940594,5.112676056338028
15,en,en_mean,821,188,188,178,209,4.367021276595745,4.367021276595745,4.612359550561798,3.9282296650717705
15,hi,hi_trans,321,339,128,111,65,0.9469026548672567,2.5078125,2.891891891891892,4.938461538461539
15,hi,hi_mean,668,662,213,181,182,1.0090634441087614,3.136150234741784,3.6906077348066297,3.67032967032967
16,sa,sa_verse,257,263,133,116,42,0.9771863117870723,1.9323308270676691,2.2155172413793105,6.119047619047619
16,en,en_trans,363,113,108,101,71,3.2123893805309733,3.361111111111111,3.594059405940594,5.112676056338028
16,en,en_mean,821,188,188,178,209,4.367021276595745,4.367021276595745,4.612359550561798,3.9282296650717705
16,hi,hi_trans,321,339,128,111,65,0.9469026548672567,2.5078125,2.891891891891892,4.938461538461539
16,hi,hi_mean,668,662,213,181,182,1.0090634441087614,3.136150234741784,3.6906077348066297,3.67032967032967
17,sa,sa_verse,257,263,133,116,42,0.9771863117870723,1.9323308270676691,2.2155172413793105,6.119047619047619
17,en,en_trans,363,113,108,101,71,3.2123893805309733,3.361111111111111,3.594059405940594,5.112676056338028
17,en,en_mean,821,188,188,178,209,4.367021276595745,4.367021276595745,4.612359550561798,3.9282296650717705
17,hi,hi_trans,321,339,128,111,65,0.9469026548672567,2.5078125,2.891891891891892,4.938461538461539
17,hi,hi_mean,668,662,213,181,182,1.0090634441087614,3.136150234741784,3.6906077348066297,3.67032967032967
18,sa,sa_verse,87,94,43,40,18,0.925531914893617,2.0232558139534884,2.175,4.833333333333333
18,en,en_trans,114,27,27,27,22,4.222222222222222,4.222222222222222,4.222222222222222,5.181818181818182
18,en,en_mean,557,124,121,113,134,4.491935483870968,4.603305785123967,4.929203539823009,4.156716417910448
18,hi,hi_trans,123,121,45,36,25,1.0165289256198347,2.7333333333333334,3.4166666666666665,4.92
18,hi,hi_mean,517,504,162,136,118,1.0257936507936507,3.191358024691358,3.801470588235294,4.38135593220339
19,sa,sa_verse,133,134,61,57,30,0.9925373134328358,2.180327868852459,2.3333333333333335,4.433333333333334
19,en,en_trans,216,57,57,51,49,3.789473684210526,3.789473684210526,4.235294117647059,4.408163265306122
19,en,en_mean,1190,281,280,258,330,4.234875444839858,4.25,4.612403100775194,3.606060606060606
19,hi,hi_trans,218,218,79,59,48,1.0,2.759493670886076,3.694915254237288,4.541666666666667
19,hi,hi_mean,1162,1134,373,295,318,1.0246913580246915,3.1152815013404824,3.9389830508474577,3.6540880503144653
20,sa,sa_verse,146,152,70,68,21,0.9605263157894737,2.085714285714286,2.1470588235294117,6.9523809523809526
20,en,en_trans,177,44,44,43,39,4.0227272727272725,4.0227272727272725,4.116279069767442,4.538461538461538
20,en,en_mean,834,225,211,207,237,3.7066666666666666,3.9526066350710902,4.028985507246377,3.518987341772152
20,hi,hi_trans,198,194,60,51,43,1.0206185567010309,3.3,3.8823529411764706,4.604651162790698
20,hi,hi_mean,761,760,251,204,207,1.0013157894736842,3.0318725099601593,3.730392156862745,3.676328502415459
21,sa,sa_verse,146,152,70,68,21,0.9605263157894737,2.085714285714286,2.1470588235294117,6.9523809523809526
21,en,en_trans,177,44,44,43,39,4.0227272727272725,4.0227272727272725,4.116279069767442,4.538461538461538
21,en,en_mean,834,225,211,207,237,3.7066666666666666,3.9526066350710902,4.028985507246377,3.518987341772152
21,hi,hi_trans,198,194,60,51,43,1.0206185567010309,3.3,3.8823529411764706,4.604651162790698
21,hi,hi_mean,761,760,251,204,207,1.0013157894736842,3.0318725099601593,3.730392156862745,3.676328502415459
22,sa,sa_verse,98,95,44,44,19,1.0315789473684212,2.227272727272727,2.227272727272727,5.157894736842105
22,en,en_trans,125,31,31,32,28,4.032258064516129,4.032258064516129,3.90625,4.464285714285714
22,en,en_mean,644,150,149,141,164,4.293333333333333,4.322147651006712,4.567375886524823,3.926829268292683
22,hi,hi_trans,143,138,41,35,29,1.036231884057971,3.4878048780487805,4.085714285714285,4.931034482758621
22,hi,hi_mean,802,792,261,202,191,1.0126262626262625,3.0727969348659006,3.9702970297029703,4.198952879581152
23,sa,sa_verse,93,99,46,42,18,0.9393939393939394,2.0217391304347827,2.2142857142857144,5.166666666666667
23,en,en_trans,162,39,40,36,30,4.153846153846154,4.05,4.5,5.4
23,en,en_mean,114,31,29,27,27,3.6774193548387095,3.9310344827586206,4.222222222222222,4.222222222222222
23,hi,hi_trans,185,188,59,48,41,0.9840425531914894,3.135593220338983,3.8541666666666665,4.512195121951219
23,hi,hi_mean,13,2,2,2,4,6.5,6.5,6.5,3.25
24,sa,sa_verse,87,87,41,39,20,1.0,2.1219512195121952,2.230769230769231,4.35
24,en,en_trans,129,36,36,33,27,3.5833333333333335,3.5833333333333335,3.909090909090909,4.777777777777778
24,en,en_mean,666,167,161,152,170,3.9880239520958085,4.136645962732919,4.381578947368421,3.9176470588235293
24,hi,hi_trans,122,119,41,33,26,1.0252100840336134,2.975609756097561,3.696969696969697,4.6923076923076925
24,hi,hi_mean,807,784,250,209,203,1.0293367346938775,3.228,3.861244019138756,3.9753694581280787
25,sa,sa_verse,140,145,76,65,29,0.9655172413793104,1.8421052631578947,2.1538461538461537,4.827586206896552
25,en,en_trans,194,50,49,48,45,3.88,3.9591836734693877,4.041666666666667,4.311111111111111
25,en,en_mean,13,2,2,2,3,6.5,6.5,6.5,4.333333333333333
25,hi,hi_trans,186,186,74,60,44,1.0,2.5135135135135136,3.1,4.2272727272727275
25,hi,hi_mean,362,372,126,107,79,0.9731182795698925,2.873015873015873,3.383177570093458,4.582278481012659
26,sa,sa_verse,91,90,42,38,18,1.011111111111111,2.1666666666666665,2.3947368421052633,5.055555555555555
26,en,en_trans,146,32,31,30,29,4.5625,4.709677419354839,4.866666666666666,5.0344827586206895
26,en,en_mean,564,128,124,118,144,4.40625,4.548387096774194,4.779661016949152,3.9166666666666665
26,hi,hi_trans,133,134,48,37,29,0.9925373134328358,2.7708333333333335,3.5945945945945947,4.586206896551724
26,hi,hi_mean,701,691,230,184,156,1.0144717800289436,3.0478260869565217,3.8097826086956523,4.493589743589744
27,sa,sa_verse,105,104,49,44,20,1.0096153846153846,2.142857142857143,2.3863636363636362,5.25
27,en,en_trans,153,37,37,37,33,4.135135135135135,4.135135135135135,4.135135135135135,4.636363636363637
27,en,en_mean,1067,208,208,206,230,5.1298076923076925,5.1298076923076925,5.179611650485437,4.639130434782609
27,hi,hi_trans,155,152,48,42,38,1.019736842105263,3.2291666666666665,3.6904761904761907,4.078947368421052
27,hi,hi_mean,894,858,267,229,212,1.0419580419580419,3.348314606741573,3.903930131004367,4.216981132075472
28,sa,sa_verse,215,203,104,96,38,1.0591133004926108,2.0673076923076925,2.2395833333333335,5.657894736842105
28,en,en_trans,379,105,100,97,88,3.6095238095238096,3.79,3.9072164948453607,4.306818181818182
28,en,en_mean,523,125,119,111,132,4.184,4.394957983193278,4.711711711711712,3.962121212121212
28,hi,hi_trans,443,438,143,126,108,1.0114155251141552,3.097902097902098,3.515873015873016,4.101851851851852
28,hi,hi_mean,385,376,125,104,100,1.023936170212766,3.08,3.701923076923077,3.85
29,sa,sa_verse,215,203,104,96,38,1.0591133004926108,2.0673076923076925,2.2395833333333335,5.657894736842105
29,en,en_trans,379,105,100,97,88,3.6095238095238096,3.79,3.9072164948453607,4.306818181818182
29,en,en_mean,523,125,119,111,132,4.184,4.394957983193278,4.711711711711712,3.962121212121212
29,hi,hi_trans,443,438,143,126,108,1.0114155251141552,3.097902097902098,3.515873015873016,4.101851851851852
29,hi,hi_mean,385,376,125,104,100,1.023936170212766,3.08,3.701923076923077,3.85
30,sa,sa_verse,215,203,104,96,38,1.0591133004926108,2.0673076923076925,2.2395833333333335,5.657894736842105
30,en,en_trans,379,105,100,97,88,3.6095238095238096,3.79,3.9072164948453607,4.306818181818182
30,en,en_mean,523,125,119,111,132,4.184,4.394957983193278,4.711711711711712,3.962121212121212
30,hi,hi_trans,443,438,143,126,108,1.0114155251141552,3.097902097902098,3.515873015873016,4.101851851851852
30,hi,hi_mean,385,376,125,104,100,1.023936170212766,3.08,3.701923076923077,3.85
31,sa,sa_verse,197,192,84,78,37,1.0260416666666667,2.3452380952380953,2.5256410256410255,5.324324324324325
31,en,en_trans,223,52,52,51,50,4.288461538461538,4.288461538461538,4.372549019607843,4.46
31,en,en_mean,679,141,142,136,165,4.815602836879433,4.78169014084507,4.992647058823529,4.115151515151515
31,hi,hi_trans,216,212,54,51,50,1.0188679245283019,4.0,4.235294117647059,4.32
31,hi,hi_mean,1096,1060,336,279,277,1.0339622641509434,3.261904761904762,3.92831541218638,3.9566787003610107
